Drug,AssayNo,RepNo,sgRNA,PctRed
PDS_IC50,CGA3,Rep1,UBE2N.1,3.05
PDS_IC50,CGA3,Rep2,UBE2N.1,1.79
PDS_IC50,CGA3,Rep3,UBE2N.1,2.51
PDS_IC50,CGA8,Rep1,UBE2N.1,1.74
PDS_IC50,CGA8,Rep2,UBE2N.1,2.87
PDS_IC50,CGA8,Rep3,UBE2N.1,3.61
PDS_IC30,CGA3,Rep1,UBE2N.1,3.13
PDS_IC30,CGA3,Rep2,UBE2N.1,3.36
PDS_IC30,CGA3,Rep3,UBE2N.1,5.21
PDS_IC30,CGA8,Rep1,UBE2N.1,0.96
PDS_IC30,CGA8,Rep2,UBE2N.1,1.13
PDS_IC30,CGA8,Rep3,UBE2N.1,3.11
BMH-21_IC30,CGA2,Rep1,UBE2N.1,40.2
BMH-21_IC30,CGA2,Rep2,UBE2N.1,42.1
BMH-21_IC30,CGA3,Rep1,UBE2N.1,23.5
BMH-21_IC30,CGA3,Rep2,UBE2N.1,21.3
BMH-21_IC30,CGA3,Rep3,UBE2N.1,31
Vehicle,CGA2,Rep1,UBE2N.2,58.7
Vehicle,CGA2,Rep2,UBE2N.2,58.7
Vehicle,CGA2,Rep3,UBE2N.2,58.4
Vehicle,CGA3,Rep1,UBE2N.2,59.8
Vehicle,CGA3,Rep2,UBE2N.2,53.9
Vehicle,CGA3,Rep3,UBE2N.2,57.4
Vehicle,CGA8,Rep1,UBE2N.2,12.2
Vehicle,CGA8,Rep2,UBE2N.2,13.5
Vehicle,CGA8,Rep3,UBE2N.2,13.4
CX-5461_IC50,CGA2,Rep1,UBE2N.2,29.8
CX-5461_IC50,CGA2,Rep2,UBE2N.2,29
CX-5461_IC50,CGA2,Rep3,UBE2N.2,30.5
CX-5461_IC50,CGA3,Rep1,UBE2N.2,23.6
CX-5461_IC50,CGA3,Rep2,UBE2N.2,26.9
CX-5461_IC50,CGA3,Rep3,UBE2N.2,20.4
CX-5461_IC30,CGA3,Rep1,UBE2N.2,31
CX-5461_IC30,CGA3,Rep2,UBE2N.2,30.8
CX-5461_IC30,CGA3,Rep3,UBE2N.2,28.8
CX-5461_IC30,CGA8,Rep1,UBE2N.2,5
CX-5461_IC30,CGA8,Rep2,UBE2N.2,3.37
CX-5461_IC30,CGA8,Rep3,UBE2N.2,4.3
PDS_IC50,CGA3,Rep1,UBE2N.2,42.2
PDS_IC50,CGA3,Rep2,UBE2N.2,31.6
PDS_IC50,CGA3,Rep3,UBE2N.2,31.2
PDS_IC50,CGA8,Rep1,UBE2N.2,6.97
PDS_IC50,CGA8,Rep2,UBE2N.2,9.38
PDS_IC50,CGA8,Rep3,UBE2N.2,15.8
PDS_IC30,CGA3,Rep1,UBE2N.2,27.7
PDS_IC30,CGA3,Rep2,UBE2N.2,31
PDS_IC30,CGA3,Rep3,UBE2N.2,33.4
PDS_IC30,CGA8,Rep1,UBE2N.2,6.93
PDS_IC30,CGA8,Rep2,UBE2N.2,8.94
PDS_IC30,CGA8,Rep3,UBE2N.2,9.84
BMH-21_IC30,CGA2,Rep1,UBE2N.2,62.2
BMH-21_IC30,CGA2,Rep2,UBE2N.2,64.5
BMH-21_IC30,CGA2,Rep3,UBE2N.2,56.2
BMH-21_IC30,CGA3,Rep1,UBE2N.2,55.9
BMH-21_IC30,CGA3,Rep2,UBE2N.2,61.4
BMH-21_IC30,CGA3,Rep3,UBE2N.2,56.1
Vehicle,CGA2,Rep1,UBE2N.3,61.2
Vehicle,CGA2,Rep2,UBE2N.3,54
Vehicle,CGA2,Rep3,UBE2N.3,60.8
Vehicle,CGA3,Rep1,UBE2N.3,52.5
Vehicle,CGA3,Rep2,UBE2N.3,46.5
Vehicle,CGA3,Rep3,UBE2N.3,50.5
Vehicle,CGA8,Rep1,UBE2N.3,12.4
Vehicle,CGA8,Rep2,UBE2N.3,11.7
Vehicle,CGA8,Rep3,UBE2N.3,4.9
CX-5461_IC50,CGA2,Rep1,UBE2N.3,38.9
CX-5461_IC50,CGA2,Rep2,UBE2N.3,43.9
CX-5461_IC50,CGA2,Rep3,UBE2N.3,37.8
CX-5461_IC50,CGA3,Rep1,UBE2N.3,24.9
CX-5461_IC50,CGA3,Rep2,UBE2N.3,21.3
CX-5461_IC50,CGA3,Rep3,UBE2N.3,28.8
CX-5461_IC30,CGA3,Rep1,UBE2N.3,22.2
CX-5461_IC30,CGA3,Rep2,UBE2N.3,21.3
CX-5461_IC30,CGA3,Rep3,UBE2N.3,22
CX-5461_IC30,CGA8,Rep1,UBE2N.3,1.83
CX-5461_IC30,CGA8,Rep2,UBE2N.3,2.61
CX-5461_IC30,CGA8,Rep3,UBE2N.3,5.7
PDS_IC50,CGA3,Rep1,UBE2N.3,38.5
PDS_IC50,CGA3,Rep2,UBE2N.3,30.2
PDS_IC50,CGA3,Rep3,UBE2N.3,32.5
PDS_IC50,CGA8,Rep1,UBE2N.3,3.47
PDS_IC50,CGA8,Rep2,UBE2N.3,3.52
PDS_IC50,CGA8,Rep3,UBE2N.3,4.37
PDS_IC30,CGA3,Rep1,UBE2N.3,39.8
PDS_IC30,CGA3,Rep2,UBE2N.3,35.7
PDS_IC30,CGA3,Rep3,UBE2N.3,33.4
PDS_IC30,CGA8,Rep1,UBE2N.3,1.54
PDS_IC30,CGA8,Rep2,UBE2N.3,7.94
PDS_IC30,CGA8,Rep3,UBE2N.3,7.45
BMH-21_IC30,CGA2,Rep1,UBE2N.3,63.2
BMH-21_IC30,CGA2,Rep2,UBE2N.3,61.2
BMH-21_IC30,CGA2,Rep3,UBE2N.3,56.1
BMH-21_IC30,CGA3,Rep1,UBE2N.3,57.1
BMH-21_IC30,CGA3,Rep2,UBE2N.3,60.9
BMH-21_IC30,CGA3,Rep3,UBE2N.3,61.1
Vehicle,CGA3,Rep1,RNF168.1,61.2
Vehicle,CGA3,Rep2,RNF168.1,61.9
Vehicle,CGA3,Rep3,RNF168.1,63.7
Vehicle,CGA5,Rep1,RNF168.1,58.8
Vehicle,CGA5,Rep2,RNF168.1,56.5
Vehicle,CGA5,Rep3,RNF168.1,59.9
Vehicle,CGA7,Rep1,RNF168.1,47
Vehicle,CGA7,Rep2,RNF168.1,48.3
Vehicle,CGA7,Rep3,RNF168.1,45
CX-5461_IC50,CGA3,Rep1,RNF168.1,6.66
CX-5461_IC50,CGA3,Rep2,RNF168.1,3
CX-5461_IC50,CGA3,Rep3,RNF168.1,2.39
CX-5461_IC50,CGA5,Rep1,RNF168.1,18.2
CX-5461_IC50,CGA5,Rep2,RNF168.1,16.2
CX-5461_IC30,CGA3,Rep1,RNF168.1,3.29
CX-5461_IC30,CGA3,Rep2,RNF168.1,4.04
CX-5461_IC30,CGA3,Rep3,RNF168.1,3.38
CX-5461_IC30,CGA5,Rep1,RNF168.1,18
CX-5461_IC30,CGA5,Rep2,RNF168.1,17.2
CX-5461_IC30,CGA5,Rep3,RNF168.1,22.1
PDS_IC50,CGA3,Rep1,RNF168.1,6.12
PDS_IC50,CGA3,Rep2,RNF168.1,4.7
PDS_IC50,CGA3,Rep3,RNF168.1,3.75
PDS_IC50,CGA7,Rep1,RNF168.1,23.5
PDS_IC50,CGA7,Rep2,RNF168.1,14
PDS_IC50,CGA7,Rep3,RNF168.1,31.4
PDS_IC30,CGA3,Rep1,RNF168.1,10.2
PDS_IC30,CGA3,Rep2,RNF168.1,7.98
PDS_IC30,CGA3,Rep3,RNF168.1,8.51
PDS_IC30,CGA7,Rep1,RNF168.1,8.19
PDS_IC30,CGA7,Rep2,RNF168.1,6.92
PDS_IC30,CGA7,Rep3,RNF168.1,4.55
BMH-21_IC30,CGA3,Rep1,RNF168.1,37.7
BMH-21_IC30,CGA3,Rep2,RNF168.1,49.3
BMH-21_IC30,CGA3,Rep3,RNF168.1,52.9
BMH-21_IC30,CGA5,Rep1,RNF168.1,48.5
BMH-21_IC30,CGA5,Rep2,RNF168.1,52.2
BMH-21_IC30,CGA5,Rep3,RNF168.1,55.5
Vehicle,CGA3,Rep1,RNF168.2,62.7
Vehicle,CGA3,Rep2,RNF168.2,63.4
Vehicle,CGA5,Rep1,RNF168.2,54.5
Vehicle,CGA5,Rep2,RNF168.2,55.2
Vehicle,CGA5,Rep3,RNF168.2,53.9
Vehicle,CGA7,Rep1,RNF168.2,47.8
Vehicle,CGA7,Rep2,RNF168.2,47.9
Vehicle,CGA7,Rep3,RNF168.2,46.7
CX-5461_IC50,CGA3,Rep1,RNF168.2,3.94
CX-5461_IC50,CGA3,Rep2,RNF168.2,10.6
CX-5461_IC50,CGA3,Rep3,RNF168.2,5.79
CX-5461_IC50,CGA5,Rep1,RNF168.2,17.6
CX-5461_IC50,CGA5,Rep2,RNF168.2,19.6
CX-5461_IC50,CGA5,Rep3,RNF168.2,25.1
CX-5461_IC30,CGA3,Rep1,RNF168.2,7.06
CX-5461_IC30,CGA3,Rep2,RNF168.2,10.2
CX-5461_IC30,CGA3,Rep3,RNF168.2,7.4
CX-5461_IC30,CGA5,Rep1,RNF168.2,21.4
CX-5461_IC30,CGA5,Rep2,RNF168.2,21.4
CX-5461_IC30,CGA5,Rep3,RNF168.2,21.4
PDS_IC50,CGA3,Rep1,RNF168.2,11.3
PDS_IC50,CGA3,Rep2,RNF168.2,9.43
PDS_IC50,CGA3,Rep3,RNF168.2,10.4
PDS_IC50,CGA7,Rep1,RNF168.2,13.8
PDS_IC50,CGA7,Rep2,RNF168.2,17
PDS_IC50,CGA7,Rep3,RNF168.2,25.6
PDS_IC30,CGA3,Rep1,RNF168.2,11.2
PDS_IC30,CGA3,Rep2,RNF168.2,13.6
PDS_IC30,CGA3,Rep3,RNF168.2,15.8
PDS_IC30,CGA7,Rep1,RNF168.2,6.07
PDS_IC30,CGA7,Rep2,RNF168.2,8.98
PDS_IC30,CGA7,Rep3,RNF168.2,11
BMH-21_IC30,CGA3,Rep1,RNF168.2,48.4
BMH-21_IC30,CGA3,Rep2,RNF168.2,54
BMH-21_IC30,CGA3,Rep3,RNF168.2,55
BMH-21_IC30,CGA5,Rep1,RNF168.2,47
BMH-21_IC30,CGA5,Rep2,RNF168.2,48.6
BMH-21_IC30,CGA5,Rep3,RNF168.2,49.8
Vehicle,CGA4,Rep1,MUS81.1 (20:1),81.6
Vehicle,CGA4,Rep2,MUS81.1 (20:1),73.4
Vehicle,CGA4,Rep3,MUS81.1 (20:1),74.1
Vehicle,CGA5,Rep1,MUS81.1 (20:1),72
Vehicle,CGA5,Rep2,MUS81.1 (20:1),67.9
Vehicle,CGA5,Rep3,MUS81.1 (20:1),66.1
Vehicle,CGA7,Rep1,MUS81.1 (20:1),57.4
Vehicle,CGA7,Rep2,MUS81.1 (20:1),64.7
Vehicle,CGA7,Rep3,MUS81.1 (20:1),60.1
CX-5461_IC50,CGA4,Rep1,MUS81.1 (20:1),72.2
CX-5461_IC50,CGA4,Rep2,MUS81.1 (20:1),67.6
CX-5461_IC50,CGA4,Rep3,MUS81.1 (20:1),72
CX-5461_IC50,CGA5,Rep1,MUS81.1 (20:1),69.5
CX-5461_IC50,CGA5,Rep2,MUS81.1 (20:1),68.8
CX-5461_IC50,CGA5,Rep3,MUS81.1 (20:1),62.6
CX-5461_IC30,CGA4,Rep1,MUS81.1 (20:1),72.9
CX-5461_IC30,CGA4,Rep2,MUS81.1 (20:1),62.3
CX-5461_IC30,CGA4,Rep3,MUS81.1 (20:1),69.2
CX-5461_IC30,CGA5,Rep1,MUS81.1 (20:1),58.9
CX-5461_IC30,CGA5,Rep2,MUS81.1 (20:1),64.8
CX-5461_IC30,CGA5,Rep3,MUS81.1 (20:1),62.7
PDS_IC50,CGA4,Rep1,MUS81.1 (20:1),75.6
PDS_IC50,CGA4,Rep2,MUS81.1 (20:1),64
PDS_IC50,CGA4,Rep3,MUS81.1 (20:1),83
PDS_IC50,CGA7,Rep1,MUS81.1 (20:1),73.2
PDS_IC50,CGA7,Rep2,MUS81.1 (20:1),52.2
PDS_IC50,CGA7,Rep3,MUS81.1 (20:1),47.3
PDS_IC30,CGA4,Rep1,MUS81.1 (20:1),80.3
PDS_IC30,CGA4,Rep2,MUS81.1 (20:1),73.3
PDS_IC30,CGA4,Rep3,MUS81.1 (20:1),71
PDS_IC30,CGA7,Rep1,MUS81.1 (20:1),58.7
PDS_IC30,CGA7,Rep2,MUS81.1 (20:1),57.8
PDS_IC30,CGA7,Rep3,MUS81.1 (20:1),53.5
BMH-21_IC30,CGA4,Rep1,MUS81.1 (20:1),77.4
BMH-21_IC30,CGA4,Rep2,MUS81.1 (20:1),83
BMH-21_IC30,CGA4,Rep3,MUS81.1 (20:1),76.3
BMH-21_IC30,CGA5,Rep1,MUS81.1 (20:1),62.3
BMH-21_IC30,CGA5,Rep2,MUS81.1 (20:1),63.7
BMH-21_IC30,CGA5,Rep3,MUS81.1 (20:1),70.6
Vehicle,CGA4,Rep1,MUS81.2 (20:1),70.4
Vehicle,CGA4,Rep2,MUS81.2 (20:1),67.1
Vehicle,CGA4,Rep3,MUS81.2 (20:1),70.8
Vehicle,CGA5,Rep1,MUS81.2 (20:1),65.4
Vehicle,CGA5,Rep2,MUS81.2 (20:1),67.4
Vehicle,CGA5,Rep3,MUS81.2 (20:1),62.2
Vehicle,CGA7,Rep1,MUS81.2 (20:1),50.2
Vehicle,CGA7,Rep2,MUS81.2 (20:1),50.8
Vehicle,CGA7,Rep3,MUS81.2 (20:1),47.1
CX-5461_IC50,CGA4,Rep1,MUS81.2 (20:1),85.7
CX-5461_IC50,CGA4,Rep2,MUS81.2 (20:1),48.2
CX-5461_IC50,CGA4,Rep3,MUS81.2 (20:1),51.3
CX-5461_IC50,CGA5,Rep1,MUS81.2 (20:1),54.8
CX-5461_IC50,CGA5,Rep2,MUS81.2 (20:1),54.8
CX-5461_IC50,CGA5,Rep3,MUS81.2 (20:1),57.3
CX-5461_IC30,CGA4,Rep1,MUS81.2 (20:1),53.6
CX-5461_IC30,CGA4,Rep2,MUS81.2 (20:1),66.9
CX-5461_IC30,CGA4,Rep3,MUS81.2 (20:1),57.6
CX-5461_IC30,CGA5,Rep1,MUS81.2 (20:1),53
CX-5461_IC30,CGA5,Rep2,MUS81.2 (20:1),54.5
CX-5461_IC30,CGA5,Rep3,MUS81.2 (20:1),51.6
PDS_IC50,CGA4,Rep1,MUS81.2 (20:1),62.3
PDS_IC50,CGA4,Rep2,MUS81.2 (20:1),73.3
