id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
DNAJC2,6,0.0452,0.11779,0.821239,70,2,0.77415,0.78279,0.984347,412,1
GADD45G,6,0.046261,0.11951,0.821239,71,2,0.329,0.46704,0.966698,246,1
NonTargetControl_0015,1,0.046928,0.12067,0.821239,72,1,0.95307,0.95161,0.988004,506,0
APLF,6,0.047168,0.12108,0.821239,73,3,0.10093,0.20617,0.966698,105,1
SMUG1,6,0.047227,0.12129,0.821239,74,2,0.085837,0.18264,0.966698,94,2
DDB2,6,0.047713,0.12198,0.821239,75,2,0.14997,0.28028,0.966698,142,3
CDC23,6,0.048192,0.12259,0.821239,76,3,0.077932,0.17023,0.966698,90,3
CDK2,6,0.048692,0.1234,0.821239,77,2,0.1716,0.31238,0.966698,161,3
MLH1,6,0.049133,0.12385,0.821239,78,3,0.19192,0.34286,0.966698,174,2
KIF23,6,0.050508,0.12605,0.821239,79,3,0.095297,0.19794,0.966698,102,3
CDC25A,6,0.050672,0.12637,0.821239,80,2,0.4045,0.53687,0.966698,289,1
MDM2,6,0.051095,0.12706,0.821239,81,2,0.97333,0.97242,0.988004,518,0
TRRAP,6,0.051097,0.12706,0.821239,82,3,0.28527,0.42766,0.966698,226,1
SMC1A,6,0.052683,0.12973,0.822195,83,2,0.15703,0.29061,0.966698,147,2
UBE2B,6,0.053054,0.13031,0.822195,84,3,0.97041,0.96939,0.988004,514,0
TUBB,6,0.055009,0.13341,0.831858,85,2,0.95406,0.95267,0.988004,507,0
POLR2E,6,0.056961,0.13668,0.842332,86,3,0.028718,0.079815,0.870348,46,3
LIG4,6,0.058374,0.1389,0.846193,87,2,0.052683,0.13085,0.938284,73,3
PSMD7,6,0.062113,0.1449,0.872694,88,3,0.74417,0.76145,0.984347,402,1
PSMB10,6,0.065388,0.14966,0.891256,89,2,0.23965,0.38831,0.966698,197,2
MUS81,6,0.066669,0.15179,0.893894,90,1,0.97977,0.97901,0.988004,524,0
POLR2A,6,0.068601,0.15497,0.902568,91,1,0.0036209,0.014188,0.578446,13,2
TERF2,6,0.070164,0.15753,0.90628,92,3,0.2774,0.42071,0.966698,221,2
ALKBH3,6,0.071931,0.1605,0.90628,93,3,0.42433,0.55544,0.966698,302,2
RECQL4,6,0.073721,0.16386,0.90628,94,3,0.89655,0.89592,0.984347,480,0
CDC26,6,0.075534,0.16636,0.90628,95,3,0.98646,0.98602,0.989752,528,0
POLR2H,6,0.076295,0.16758,0.90628,96,3,0.01728,0.05142,0.85164,32,1
NonTargetControl_0039,1,0.076621,0.1682,0.90628,97,1,0.92338,0.92282,0.984347,492,0
NonTargetControl_0044,1,0.077986,0.17036,0.90628,98,1,0.92201,0.92147,0.984347,491,0
PSMD14,6,0.07821,0.17072,0.90628,99,1,0.95499,0.95361,0.988004,508,0
PSMD12,6,0.079981,0.17322,0.90628,100,3,0.39378,0.52725,0.966698,281,1
PSMF1,6,0.080121,0.17333,0.90628,101,1,0.16142,0.29749,0.966698,150,3
PSMA2,6,0.080735,0.17442,0.90628,102,3,0.88759,0.88628,0.984347,470,0
MMS22L,6,0.083403,0.17838,0.912712,103,3,0.8915,0.89018,0.984347,477,0
PSMB3,6,0.084504,0.18036,0.912712,104,3,0.69607,0.73126,0.984347,388,1
TADA3,6,0.085719,0.18241,0.912712,105,2,0.041252,0.10892,0.88888,64,3
HAUS6,6,0.085837,0.18254,0.912712,106,2,0.97536,0.97483,0.988004,522,0
SPO11,6,0.090641,0.19013,0.938256,107,3,0.86073,0.85854,0.984347,456,0
REV3L,6,0.091275,0.19119,0.938256,108,3,0.1975,0.35045,0.966698,177,1
PALB2,6,0.096173,0.19952,0.961881,109,3,0.42416,0.55527,0.966698,301,1
HUS1,6,0.096293,0.19964,0.961881,110,3,0.40942,0.54139,0.966698,291,2
PAPD7,6,0.098843,0.20339,0.9638,111,2,0.045658,0.11835,0.903465,69,3
XAB2,6,0.099058,0.20367,0.9638,112,1,0.0034618,0.013684,0.578446,12,5
ERCC4,6,0.10248,0.20864,0.966268,113,3,0.39194,0.52598,0.966698,280,2
AP5Z1,6,0.10462,0.21225,0.966268,114,3,0.93816,0.93728,0.988004,502,0
PSMB4,6,0.10654,0.21507,0.966268,115,2,0.63274,0.69579,0.984347,366,1
TUBB1,6,0.1084,0.21778,0.966268,116,2,0.50052,0.62975,0.984347,337,2
TERF2IP,6,0.1086,0.21804,0.966268,117,2,0.89021,0.88889,0.984347,475,0
POLDIP2,6,0.10993,0.22013,0.966268,118,3,0.01262,0.039632,0.777961,27,3
MAP9,6,0.11026,0.22069,0.966268,119,1,0.046082,0.11933,0.903465,70,4
NonTargetControl_0030,1,0.11075,0.22172,0.966268,120,1,0.88925,0.88781,0.984347,473,0
TP73,6,0.11119,0.22233,0.966268,121,3,0.34087,0.47761,0.966698,253,2
CDC34,6,0.11212,0.2239,0.966268,122,2,0.044011,0.11471,0.894074,68,3
MUTYH,6,0.11259,0.22463,0.966268,123,2,0.47398,0.60386,0.969086,330,1
RAD51B,6,0.11397,0.22682,0.966268,124,3,0.029328,0.081347,0.870348,49,2
FANCC,6,0.11523,0.22889,0.966268,125,3,0.093412,0.19465,0.966698,101,2
XRCC3,6,0.11767,0.23257,0.966268,126,2,0.0339,0.091902,0.870348,54,3
POLI,6,0.11798,0.23291,0.966268,127,2,0.3861,0.52035,0.966698,278,2
OXR1,6,0.11888,0.23421,0.966268,128,3,0.97619,0.97571,0.988004,523,0
TDP1,6,0.11951,0.23519,0.966268,129,2,0.92739,0.92669,0.984347,497,0
OGG1,6,0.12319,0.241,0.976925,130,1,0.025326,0.071278,0.870348,38,1
NEIL2,6,0.12685,0.24656,0.976925,131,1,0.26996,0.41464,0.966698,217,2
TERT,6,0.1276,0.2477,0.976925,132,2,0.75323,0.76773,0.984347,405,1
MSH3,6,0.12868,0.24965,0.976925,133,1,0.24534,0.39297,0.966698,199,2
