id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
CLK2,6,0.049133,0.12966,0.8891,70,4,0.54108,0.67812,0.996177,352,2
RAD51C,6,0.050672,0.13298,0.8891,71,4,0.64759,0.76211,0.996177,394,1
PMS2,6,0.051095,0.13388,0.8891,72,3,0.33169,0.52329,0.996177,271,3
ASF1A,6,0.052087,0.13629,0.8891,73,4,0.77296,0.82527,0.996177,429,1
CDC45,6,0.055009,0.14322,0.8891,74,3,0.63027,0.74815,0.996177,388,2
ATRX,6,0.055759,0.14481,0.8891,75,2,0.043227,0.11886,0.905459,67,1
CDK2,6,0.055969,0.14525,0.8891,76,4,0.17683,0.33847,0.996177,179,1
PNKP,6,0.056673,0.14688,0.8891,77,4,0.87691,0.88477,0.996177,458,1
SLX4,6,0.058098,0.14961,0.8891,78,4,0.19409,0.36024,0.996177,189,1
ATR,6,0.05882,0.15123,0.8891,79,4,0.74285,0.81157,0.996177,422,1
PSMB4,6,0.059061,0.15176,0.8891,80,4,0.90971,0.90999,0.996177,477,1
NonTargetControl_0044,1,0.06058,0.15499,0.8891,81,1,0.93942,0.9386,0.996177,497,0
ORC2,6,0.060706,0.15532,0.8891,82,4,0.92095,0.92056,0.996177,484,1
RAD51D,6,0.060854,0.1557,0.8891,83,3,0.92193,0.9214,0.996177,486,1
POLR2I,6,0.061031,0.15613,0.8891,84,3,0.25791,0.43584,0.996177,224,3
PSMD13,6,0.061573,0.15719,0.8891,85,2,0.17502,0.33625,0.996177,178,2
PSMC3,6,0.062654,0.15904,0.8891,86,2,0.031805,0.095489,0.905459,52,4
ANAPC4,6,0.06403,0.16192,0.8891,87,4,0.98993,0.98947,0.996177,525,0
MCM9,6,0.064289,0.16239,0.8891,88,2,0.32829,0.51942,0.996177,269,2
RAD54B,6,0.064734,0.16315,0.8891,89,2,0.9202,0.91985,0.996177,483,1
KAT5,6,0.064838,0.1633,0.8891,90,3,0.30569,0.49207,0.996177,258,2
CHD4,6,0.065388,0.16448,0.8891,91,2,0.84541,0.86356,0.996177,443,1
CDC16,6,0.06583,0.16537,0.8891,92,4,0.6493,0.76341,0.996177,396,2
PSMC5,6,0.066361,0.1665,0.8891,93,4,0.65186,0.76536,0.996177,397,1
NonTargetControl_0041,1,0.066382,0.16651,0.8891,94,1,0.93362,0.93289,0.996177,490,0
CUL4A,6,0.066611,0.16689,0.8891,95,4,0.34066,0.53369,0.996177,276,2
RBX1,6,0.066669,0.167,0.8891,96,2,0.88045,0.88716,0.996177,459,1
NCOA6,6,0.067926,0.1692,0.8891,97,4,0.53441,0.67335,0.996177,350,1
POLL,6,0.068601,0.17077,0.8891,98,3,0.076295,0.18458,0.956904,100,1
APLF,6,0.070335,0.17399,0.8891,99,4,0.061035,0.15566,0.9375,88,2
RDM1,6,0.07042,0.17415,0.8891,100,3,0.97691,0.97627,0.996177,514,0
RECQL4,6,0.07053,0.17427,0.8891,101,3,0.21951,0.39005,0.996177,202,2
PPP4R1,6,0.071222,0.17578,0.8891,102,3,0.26299,0.44161,0.996177,229,3
BARD1,6,0.072129,0.17802,0.8891,103,3,0.70728,0.79764,0.996177,414,1
PARP4,6,0.072245,0.1784,0.8891,104,4,0.01526,0.053064,0.905459,25,2
ZBTB32,6,0.072455,0.17866,0.8891,105,1,0.2765,0.45704,0.996177,237,3
PSME4,6,0.072644,0.17901,0.8891,106,3,0.30061,0.48561,0.996177,253,1
PARP2,6,0.073276,0.18038,0.8891,107,2,0.1403,0.29242,0.974749,159,2
PSME1,6,0.073721,0.18122,0.8891,108,3,0.23965,0.41421,0.996177,213,2
UBE2N,6,0.075591,0.18478,0.8891,109,2,0.6268,0.74568,0.996177,386,2
MDM2,6,0.075879,0.18516,0.8891,110,4,0.89215,0.89534,0.996177,469,1
UBB,6,0.076448,0.18624,0.8891,111,4,0.38359,0.56659,0.996177,295,2
UVRAG,6,0.077371,0.18789,0.8891,112,3,0.034135,0.10087,0.905459,54,3
PARG,6,0.079626,0.19209,0.893501,113,4,0.28836,0.47077,0.996177,243,2
SMUG1,6,0.080121,0.1931,0.893501,114,1,0.14678,0.30042,0.982857,162,3
UBTF,6,0.080802,0.1948,0.893501,115,4,0.98966,0.98906,0.996177,524,0
NonTargetControl_0020,1,0.081741,0.19653,0.893501,116,1,0.91826,0.91802,0.996177,482,0
POLA1,6,0.08203,0.19724,0.893501,117,4,0.46309,0.62103,0.996177,324,1
DNAJA3,6,0.085337,0.20352,0.910766,118,3,0.29151,0.47457,0.996177,248,2
TCEA1,6,0.085837,0.20449,0.910766,119,3,0.29144,0.47453,0.996177,247,1
PSMD1,6,0.087736,0.20817,0.912487,120,3,0.16621,0.32515,0.996137,173,3
FANCL,6,0.087773,0.20832,0.912487,121,4,0.44328,0.60683,0.996177,316,1
NonTargetControl_0010,1,0.08959,0.21219,0.921807,122,1,0.91041,0.91062,0.996177,478,0
RAD9B,6,0.091523,0.21637,0.921808,123,2,0.85468,0.86943,0.996177,446,1
TERF2,6,0.095104,0.2234,0.921808,124,4,0.73685,0.80935,0.996177,421,1
POLR2C,6,0.095297,0.2239,0.921808,125,3,0.46363,0.62157,0.996177,325,2
MCM6,6,0.097739,0.22827,0.921808,126,4,0.29603,0.48008,0.996177,250,1
APEX2,6,0.09867,0.22997,0.921808,127,3,0.93424,0.9335,0.996177,491,0
SHFM1,6,0.099073,0.23074,0.921808,128,4,0.96466,0.96472,0.996177,508,0
CINP,6,0.10008,0.23274,0.921808,129,4,0.92168,0.92123,0.996177,485,1
SPDL1,6,0.10093,0.23425,0.921808,130,2,0.22753,0.39964,0.996177,207,2
RFC3,6,0.10162,0.23509,0.921808,131,3,0.93165,0.93091,0.996177,489,0
ERCC2,6,0.10281,0.23625,0.921808,132,2,0.63785,0.75417,0.996177,390,2
SMC1B,6,0.10336,0.23704,0.921808,133,3,0.75323,0.81591,0.996177,425,1
MLH1,6,0.10462,0.23911,0.921808,134,3,0.97527,0.97477,0.996177,512,0
FANCD2,6,0.10654,0.24161,0.921808,135,2,0.15215,0.3075,0.986533,163,2
HAUS7,6,0.10728,0.24236,0.921808,136,2,0.52347,0.66523,0.996177,346,1
RCC1,6,0.1086,0.24417,0.921808,137,2,0.69149,0.79203,0.996177,407,1
CDC6,6,0.11026,0.24641,0.921808,138,1,0.6254,0.74468,0.996177,384,2
WRN,6,0.11164,0.24851,0.921808,139,3,0.13062,0.27976,0.971779,150,3
POLR2A,6,0.11212,0.24931,0.921808,140,2,0.088479,0.20823,0.971779,113,3
REPIN1,6,0.11397,0.25215,0.921808,141,2,0.59988,0.72478,0.996177,376,2
XRCC3,6,0.11582,0.25454,0.921808,142,2,0.27593,0.45644,0.996177,236,2
NonTargetControl_0015,1,0.11621,0.25495,0.921808,143,1,0.88379,0.88945,0.996177,462,0
PPP2R1A,6,0.11659,0.25544,0.921808,144,3,0.51471,0.65908,0.996177,342,2
TERF2IP,6,0.11767,0.2568,0.921808,145,1,0.52015,0.66296,0.996177,345,1
RAD18,6,0.11888,0.25809,0.921808,146,3,0.96055,0.96057,0.996177,504,0
CDK1,6,0.11934,0.25872,0.921808,147,3,0.48937,0.64103,0.996177,333,1
MAP10,6,0.11951,0.25893,0.921808,148,1,0.13352,0.28406,0.971779,154,3
ANAPC15,6,0.12002,0.25966,0.921808,149,2,0.62376,0.74303,0.996177,382,1
RBBP4,6,0.12135,0.26169,0.921808,150,2,0.55479,0.68923,0.996177,362,2
POLM,6,0.12211,0.26263,0.921808,151,3,0.51569,0.65962,0.996177,343,1
PSMB5,6,0.12414,0.26565,0.926296,152,2,0.94151,0.94053,0.996177,498,0
CDC34,6,0.12868,0.27167,0.9306,153,1,0.1459,0.2995,0.982857,161,3
UBE2I,6,0.12966,0.27273,0.9306,154,3,0.82251,0.85095,0.996177,435,1
DSCC1,6,0.1305,0.27384,0.9306,155,1,0.082693,0.19724,0.956904,106,3
GINS2,6,0.13062,0.27397,0.9306,156,3,0.93877,0.93776,0.996177,496,0
MNAT1,6,0.13391,0.27836,0.9306,157,2,0.20137,0.36894,0.996177,194,3
NEIL2,6,0.13414,0.2786,0.9306,158,2,0.13644,0.28749,0.971779,156,3
HAUS6,6,0.13461,0.27918,0.9306,159,3,0.93674,0.93584,0.996177,492,0
PSMD2,6,0.13745,0.28314,0.933368,160,3,0.091523,0.21445,0.971779,115,2
TMEM189-UBE2V1,6,0.13777,0.28353,0.933368,161,2,0.1896,0.35488,0.996177,186,2
PSMB1,6,0.1403,0.28697,0.935704,162,3,0.54407,0.68075,0.996177,355,2
NonTargetControl_0017,1,0.14215,0.28897,0.935704,163,1,0.85785,0.87126,0.996177,451,0
NonTargetControl_0013,1,0.14317,0.29043,0.935704,164,1,0.85683,0.8707,0.996177,449,0
CDC25A,6,0.14389,0.2913,0.935704,165,2,0.64058,0.75633,0.996177,392,2
RB1,6,0.14678,0.29497,0.941757,166,3,0.66207,0.77324,0.996177,402,2
HAUS5,6,0.14824,0.29689,0.942224,167,2,0.8993,0.90107,0.996177,471,1
NBN,6,0.15565,0.30644,0.962871,168,3,0.36099,0.5511,0.996177,284,2
PSMC2,6,0.15984,0.31189,0.962871,169,3,0.69455,0.79306,0.996177,408,1
