id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
RAD54L,6,9.13E-07,9.34E-06,0.00495,1,5,0.67338,0.72646,0.982142,382,1
H2AFX,6,3.81E-06,2.80E-05,0.00495,2,6,0.99978,0.99977,0.999991,529,0
RAD9A,6,9.38E-06,2.80E-05,0.00495,3,6,0.99999,0.99999,0.999991,530,0
XPA,6,0.00026992,0.0011302,0.143564,4,4,0.51706,0.64533,0.982142,331,2
RAD51,6,0.00032276,0.0013544,0.143564,5,5,0.9553,0.95532,0.994445,506,0
PALB2,6,0.000588,0.0026807,0.236799,6,5,0.96711,0.96702,0.994445,515,0
ALKBH1,6,0.00097534,0.0039324,0.275371,7,4,0.60714,0.69289,0.982142,358,1
REV1,6,0.0010235,0.0041565,0.275371,8,1,0.032058,0.089455,0.854868,54,4
UBE2N,6,0.0012974,0.0051466,0.30308,9,4,0.71743,0.75125,0.982142,401,1
MUS81,6,0.0018317,0.0071829,0.380693,10,5,0.99212,0.99143,0.999277,524,0
RAD51B,6,0.0020587,0.008173,0.393789,11,3,0.47495,0.60543,0.982142,307,2
POLH,6,0.0028481,0.011349,0.501238,12,4,0.67579,0.72764,0.982142,384,1
MMS22L,6,0.004949,0.018803,0.678527,13,4,0.59956,0.68921,0.982142,357,1
POLQ,6,0.0051085,0.019307,0.678527,14,3,0.089631,0.19276,0.982142,101,2
PSMC5,6,0.0054007,0.020465,0.678527,15,4,0.89215,0.89106,0.987403,477,0
BARD1,6,0.0054031,0.020484,0.678527,16,5,0.83747,0.83743,0.982142,446,1
RAD21,6,0.0057843,0.021773,0.6788,17,5,0.27905,0.43022,0.982142,216,1
BRCA2,6,0.0063698,0.023772,0.699945,18,3,0.44454,0.57638,0.982142,290,1
ATM,6,0.0070953,0.026256,0.732413,19,5,0.99912,0.99904,0.999991,528,0
OXR1,6,0.0081199,0.029264,0.763051,20,3,0.99378,0.99338,0.999277,526,0
STAG2,6,0.0086249,0.030684,0.763051,21,3,0.92623,0.92603,0.994445,492,0
LIG4,6,0.0091797,0.031674,0.763051,22,1,0.0010235,0.0044368,0.470297,5,2
PSMB4,6,0.010956,0.036251,0.787862,23,4,0.95015,0.95026,0.994445,503,0
RNF168,6,0.011027,0.036419,0.787862,24,2,0.26491,0.41875,0.982142,211,1
PSMC4,6,0.011286,0.037166,0.787862,25,3,0.087736,0.18968,0.982142,98,1
ATR,6,0.012061,0.039464,0.787862,26,3,0.40277,0.53959,0.982142,268,2
RAD54B,6,0.012316,0.040136,0.787862,27,3,0.46431,0.5954,0.982142,300,1
PSMA7,6,0.019898,0.058612,0.989582,28,4,0.96614,0.96623,0.994445,514,0
ERCC5,6,0.02049,0.059864,0.989582,29,4,0.99173,0.99106,0.999277,523,0
ASF1A,6,0.022238,0.064216,0.989582,30,4,0.7402,0.76541,0.982142,406,1
RTEL1,6,0.02332,0.067018,0.989582,31,1,0.32075,0.46623,0.982142,235,2
TERF2,6,0.023758,0.068065,0.989582,32,4,0.48231,0.61256,0.982142,312,1
APEX1,6,0.025936,0.072978,0.989582,33,4,0.8136,0.81759,0.982142,436,1
ANKRD17,6,0.026276,0.073688,0.989582,34,3,0.086329,0.18747,0.982142,97,3
UBC,6,0.027075,0.075761,0.989582,35,4,0.74613,0.76919,0.982142,409,1
TUBB4B,6,0.02716,0.075948,0.989582,36,2,0.54831,0.6662,0.982142,341,1
ESCO1,6,0.027329,0.076452,0.989582,37,2,0.22605,0.38527,0.982142,191,1
PMS2,6,0.029113,0.08088,0.989582,38,2,0.94525,0.9449,0.994445,500,0
BCL2,6,0.030275,0.083869,0.989582,39,3,0.77117,0.78518,0.982142,419,1
ERCC8,6,0.031324,0.086353,0.989582,40,1,0.30235,0.44974,0.982142,225,2
CINP,6,0.031484,0.086839,0.989582,41,4,0.36183,0.5029,0.982142,252,2
IGHMBP2,6,0.033441,0.091416,0.989582,42,4,0.65356,0.71559,0.982142,376,1
XRCC2,6,0.033612,0.09179,0.989582,43,3,0.89991,0.8993,0.987403,482,0
INO80E,6,0.035305,0.095619,0.989582,44,2,0.96816,0.96818,0.994445,516,0
FEN1,6,0.035747,0.09631,0.989582,45,2,0.67659,0.72803,0.982142,385,1
NonTargetControl_0044,1,0.036007,0.096927,0.989582,46,1,0.96399,0.96425,0.994445,511,0
CHTF18,6,0.036287,0.097768,0.989582,47,3,0.73752,0.76328,0.982142,405,1
CDC45,6,0.036352,0.097936,0.989582,48,4,0.40979,0.54604,0.982142,270,2
GTF2H2,6,0.038505,0.10266,0.989582,49,4,0.2144,0.37365,0.982142,183,1
RFWD2,6,0.039273,0.10447,0.989582,50,2,0.71094,0.74746,0.982142,399,1
MDC1,6,0.040636,0.10765,0.989582,51,3,0.68995,0.73552,0.982142,391,1
MLH1,6,0.041094,0.1086,0.989582,52,2,0.049887,0.12846,0.966399,70,4
RUVBL2,6,0.041313,0.10894,0.989582,53,4,0.98558,0.98458,0.999277,521,0
FANCL,6,0.04189,0.11049,0.989582,54,4,0.74417,0.76771,0.982142,407,1
ANAPC7,6,0.042944,0.11266,0.989582,55,2,0.38564,0.52413,0.982142,261,2
POLR2D,6,0.046214,0.11959,0.989582,56,4,0.82919,0.82988,0.982142,441,1
PSME3,6,0.049184,0.12594,0.989582,57,3,0.95972,0.96001,0.994445,509,0
HUS1,6,0.051097,0.13003,0.989582,58,3,0.95901,0.95928,0.994445,507,0
PSMA5,6,0.053054,0.13461,0.989582,59,3,0.96138,0.96158,0.994445,510,0
MGMT,6,0.053191,0.13492,0.989582,60,2,0.14238,0.27199,0.982142,132,3
SLX1A,6,0.054213,0.13735,0.989582,61,2,0.9052,0.90479,0.988741,485,0
PNKP,6,0.055009,0.13909,0.989582,62,2,0.78461,0.7945,0.982142,425,1
TDP1,6,0.055759,0.14012,0.989582,63,3,0.73617,0.76252,0.982142,404,1
CSNK1D,6,0.056799,0.14174,0.989582,64,2,0.56289,0.67257,0.982142,347,1
MCM9,6,0.058139,0.14395,0.989582,65,3,0.26748,0.42071,0.982142,213,2
APITD1,6,0.059433,0.1458,0.989582,66,2,0.96478,0.965,0.994445,512,0
PSMD13,6,0.060499,0.14774,0.989582,67,3,0.22352,0.38308,0.982142,188,2
RAD18,6,0.060854,0.14839,0.989582,68,3,0.69225,0.73679,0.982142,392,1
NonTargetControl_0030,1,0.064676,0.15362,0.989582,69,1,0.93532,0.9352,0.994445,497,0
UBE2T,6,0.06705,0.15704,0.989582,70,3,0.033316,0.092537,0.854868,55,3
SHFM1,6,0.07053,0.16267,0.989582,71,2,0.58698,0.6831,0.982142,355,1
SMEK1,6,0.072455,0.16603,0.989582,72,3,0.87691,0.87615,0.985483,469,0
C19orf40,6,0.072644,0.16633,0.989582,73,3,0.70801,0.74582,0.982142,397,1
RASSF7,6,0.073276,0.16756,0.989582,74,2,0.18372,0.33072,0.982142,154,3
NonTargetControl_0035,1,0.073549,0.16801,0.989582,75,1,0.92645,0.92614,0.994445,493,0
CHEK2,6,0.074376,0.16917,0.989582,76,2,0.83837,0.8381,0.982142,447,1
MAD2L2,6,0.076266,0.17173,0.989582,77,3,0.64153,0.70969,0.982142,373,1
RNF4,6,0.076295,0.1718,0.989582,78,2,0.02146,0.062927,0.850679,38,4
PSMB1,6,0.076633,0.17238,0.989582,79,3,0.93339,0.93306,0.994445,496,0
MSH2,6,0.078484,0.17505,0.989582,80,3,0.00066295,0.0031664,0.419554,4,3
FANCM,6,0.0803,0.1778,0.989582,81,2,0.48539,0.61578,0.982142,315,2
