id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
ORC1,6,0.025326,0.082281,0.614343,69,1,0.3716,0.5766,0.996379,305,3
ING1,6,0.025379,0.082412,0.614343,70,4,0.8254,0.89457,0.998814,462,1
PSMB4,6,0.025694,0.083234,0.614343,71,5,0.57908,0.74832,0.998814,382,1
POLR2J,6,0.025796,0.083458,0.614343,72,4,0.99372,0.99386,0.998814,521,0
TIPIN,6,0.028107,0.09037,0.652359,73,5,0.99483,0.99504,0.998814,525,0
PSMD14,6,0.028976,0.093116,0.652359,74,3,0.98108,0.98094,0.998814,514,0
POLR2C,6,0.029113,0.093508,0.652359,75,3,0.64153,0.7831,0.998814,400,2
HAUS7,6,0.029147,0.093583,0.652359,76,4,0.074376,0.197,0.827706,125,2
PNKP,6,0.030056,0.096198,0.652359,77,4,0.28372,0.49293,0.994526,260,2
RAD21,6,0.030313,0.096871,0.652359,78,4,0.89054,0.91871,0.998814,473,1
BUB1,6,0.03094,0.098608,0.652359,79,5,0.98336,0.98327,0.998814,516,0
PSMA5,6,0.031324,0.099617,0.652359,80,3,0.19921,0.39993,0.949059,223,1
UBA52,6,0.032358,0.10234,0.652359,81,3,0.94792,0.94979,0.998814,488,1
RPA2,6,0.032513,0.10272,0.652359,82,3,0.80654,0.88669,0.998814,456,2
SPDL1,6,0.033202,0.10421,0.652359,83,4,0.60419,0.76252,0.998814,389,2
RBM14,6,0.033316,0.10446,0.652359,84,2,0.80485,0.8854,0.998814,455,1
RMI1,6,0.033441,0.10462,0.652359,85,4,0.63628,0.77985,0.998814,399,1
PRIM1,6,0.035305,0.10834,0.659693,86,3,0.81004,0.88886,0.998814,457,1
MDM2,6,0.035561,0.10879,0.659693,87,4,0.97451,0.97415,0.998814,508,0
CHEK1,6,0.037055,0.11172,0.659693,88,3,0.053054,0.15652,0.811569,100,1
ATR,6,0.037291,0.11221,0.659693,89,4,0.82251,0.89366,0.998814,460,1
PSMC4,6,0.037516,0.11273,0.659693,90,4,0.7132,0.82642,0.998814,429,2
CDC7,6,0.038382,0.11467,0.659693,91,3,0.51471,0.71068,0.998814,363,2
UVRAG,6,0.038768,0.11563,0.659693,92,3,0.25597,0.46653,0.98905,250,3
POLR2L,6,0.038828,0.11576,0.659693,93,4,0.056961,0.16657,0.811569,107,2
ERCC3,6,0.041252,0.12071,0.680588,94,2,0.23851,0.44974,0.977713,242,3
RNF4,6,0.043258,0.12471,0.695727,95,4,0.32753,0.535,0.996379,279,2
CDK1,6,0.045303,0.12878,0.704572,96,3,0.84367,0.90072,0.998814,464,1
POLA1,6,0.045936,0.13009,0.704572,97,3,0.34758,0.55333,0.996379,289,2
PLA2G1B,6,0.046288,0.13055,0.704572,98,4,0.60776,0.76463,0.998814,392,2
WEE1,6,0.046775,0.13166,0.704572,99,3,0.43128,0.63283,0.998217,336,3
KAT5,6,0.048192,0.13455,0.704572,100,3,0.38427,0.58919,0.996379,311,2
RFC4,6,0.048692,0.13547,0.704572,101,4,0.69855,0.81742,0.998814,425,2
RAD54L,6,0.048765,0.1356,0.704572,102,3,0.355,0.56059,0.996379,290,2
VCP,6,0.05054,0.13836,0.711958,103,4,0.5112,0.70782,0.998814,361,1
PPP4R2,6,0.051393,0.14038,0.715394,104,4,0.98376,0.98364,0.998814,517,0
RFC3,6,0.053054,0.14406,0.717822,105,3,0.97242,0.97203,0.998814,504,0
GTF2H2,6,0.055039,0.14847,0.717822,106,4,0.3231,0.53038,0.996379,278,1
PSMA3,6,0.055242,0.1488,0.717822,107,2,0.30061,0.50929,0.994526,270,3
PTTG1,6,0.055633,0.1495,0.717822,108,4,0.9207,0.93388,0.998814,482,1
SMC3,6,0.056673,0.15149,0.717822,109,4,0.36348,0.569,0.996379,293,2
ANAPC10,6,0.056961,0.15205,0.717822,110,3,0.13603,0.30098,0.83807,188,2
PSMD1,6,0.057192,0.15256,0.717822,111,4,0.73752,0.84075,0.998814,434,1
DNAJC2,6,0.057383,0.15286,0.717822,112,4,0.1855,0.37869,0.916475,219,2
SLX1B,6,0.057507,0.15305,0.717822,113,3,0.74351,0.84468,0.998814,435,2
CEP192,6,0.062261,0.16197,0.748215,114,4,0.28527,0.49416,0.994526,261,1
PSMB1,6,0.062763,0.16274,0.748215,115,4,0.51457,0.71055,0.998814,362,1
PSMB2,6,0.063333,0.16401,0.748215,116,4,0.65356,0.79028,0.998814,405,1
XRCC2,6,0.064289,0.16569,0.748215,117,3,0.39361,0.5982,0.996379,316,3
XRCC5,6,0.066669,0.17021,0.748215,118,3,0.26045,0.47115,0.990904,252,3
POLD3,6,0.066702,0.17025,0.748215,119,3,0.52567,0.71828,0.998814,366,1
SHFM1,6,0.067044,0.1709,0.748215,120,4,0.56158,0.73857,0.998814,374,2
PSMC5,6,0.06705,0.1709,0.748215,121,3,0.062796,0.17651,0.82061,114,1
MCM5,6,0.067731,0.17223,0.748215,122,3,0.0452,0.13618,0.801925,90,2
GINS4,6,0.068601,0.17432,0.751147,123,3,0.36629,0.5716,0.996379,299,2
MCM3,6,0.07053,0.17791,0.76042,124,3,0.59956,0.75968,0.998814,387,2
GEN1,6,0.073629,0.18465,0.764487,125,4,0.95262,0.95398,0.998814,492,1
MMS22L,6,0.073852,0.18492,0.764487,126,4,0.56186,0.73877,0.998814,375,1
MCM7,6,0.074082,0.18534,0.764487,127,4,0.87584,0.9129,0.998814,470,1
POLR1B,6,0.074188,0.18553,0.764487,128,4,0.66008,0.79426,0.998814,408,2
TERF2,6,0.074468,0.18607,0.764487,129,4,0.7245,0.83341,0.998814,431,2
MCM4,6,0.075591,0.18781,0.765689,130,4,0.27749,0.48663,0.994526,258,1
MCM10,6,0.076734,0.19028,0.769821,131,4,0.019297,0.066589,0.641674,55,1
GINS2,6,0.079605,0.19549,0.784916,132,4,0.91135,0.9287,0.998814,480,1
NIPBL,6,0.083935,0.20399,0.812886,133,2,0.329,0.53614,0.996379,281,3
SLX1A,6,0.088083,0.21178,0.833357,134,3,0.30402,0.51253,0.994526,271,3
POLR2E,6,0.089631,0.21473,0.833357,135,3,0.88692,0.91718,0.998814,472,1
CDK2,6,0.08965,0.21477,0.833357,136,4,0.95621,0.95697,0.998814,493,1
MCM2,6,0.090641,0.21667,0.833357,137,3,0.70875,0.82344,0.998814,427,2
UBE2V1,6,0.090916,0.21735,0.833357,138,4,0.13777,0.30356,0.83807,191,1
CENPE,6,0.091553,0.21856,0.833357,139,4,0.55252,0.73326,0.998814,371,1
TXN,6,0.092512,0.22043,0.834176,140,3,0.49491,0.69282,0.998814,356,3
RPA1,6,0.093412,0.22192,0.834176,141,2,0.26913,0.47914,0.994526,255,2
CLSPN,6,0.09951,0.23373,0.862228,142,3,0.96651,0.96651,0.998814,499,0
HAUS4,6,0.099931,0.23464,0.862228,143,3,0.064734,0.17991,0.821996,116,3
RAD23A,6,0.10008,0.23492,0.862228,144,4,0.41897,0.62215,0.996379,330,1
