id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
SMC1A,6,0.058909,0.14238,0.994079,70,2,0.40847,0.54021,0.982548,286,1
NonTargetControl_0029,1,0.059215,0.14273,0.994079,71,1,0.94078,0.94029,0.999673,489,0
ERCC2,6,0.062113,0.14727,0.994079,72,2,0.94651,0.94582,0.999673,493,0
ANAPC15,6,0.062796,0.14804,0.994079,73,1,0.21473,0.36255,0.982548,189,2
MSH4,6,0.063742,0.14931,0.994079,74,2,0.080358,0.17346,0.944473,94,3
DDB2,6,0.064289,0.15004,0.994079,75,2,0.83702,0.83765,0.999673,432,1
MCM3,6,0.064734,0.15069,0.994079,76,1,0.0051058,0.019232,0.841293,9,5
ERCC8,6,0.067387,0.15491,0.994079,77,3,0.19921,0.34865,0.982548,185,2
PSMC4,6,0.068768,0.15721,0.994079,78,3,0.23592,0.38254,0.982548,201,1
POLR2F,6,0.072455,0.16338,0.994079,79,2,0.52787,0.64195,0.992316,339,1
PMS2,6,0.074376,0.16636,0.994079,80,3,0.96942,0.9692,0.999673,508,0
ANKRD17,6,0.07501,0.16734,0.994079,81,3,0.36686,0.50234,0.982548,262,2
CHEK1,6,0.076295,0.16907,0.994079,82,2,0.41111,0.54253,0.982548,288,1
RASSF7,6,0.079605,0.17429,0.994079,83,3,0.90719,0.90771,0.999673,469,0
BTG2,6,0.080121,0.17503,0.994079,84,1,0.96124,0.96108,0.999673,501,0
APLF,6,0.083295,0.17935,0.994079,85,2,0.7645,0.77537,0.999673,404,1
PSMB11,6,0.085719,0.18325,0.994079,86,3,0.78059,0.78781,0.999673,412,1
MCM2,6,0.085837,0.1834,0.994079,87,1,0.10654,0.21372,0.944473,118,2
CLK2,6,0.086508,0.18435,0.994079,88,3,0.80642,0.81034,0.999673,417,1
ALKBH3,6,0.086941,0.18495,0.994079,89,2,0.092082,0.1919,0.944473,105,3
NME2,6,0.091523,0.19256,0.994079,90,1,0.16808,0.30649,0.982548,163,2
GTF2H2,6,0.097002,0.20156,0.994079,91,3,0.26583,0.40969,0.982548,218,2
OXR1,6,0.097179,0.20178,0.994079,92,1,0.10376,0.20942,0.944473,115,3
NonTargetControl_0018,1,0.098805,0.20419,0.994079,93,1,0.90119,0.90143,0.999673,466,0
SMC6,6,0.099484,0.20531,0.994079,94,2,0.1899,0.33788,0.982548,176,3
NonTargetControl_0006,1,0.099829,0.20578,0.994079,95,1,0.90017,0.90048,0.999673,464,0
NEIL2,6,0.10333,0.21055,0.994079,96,3,0.39243,0.52566,0.982548,273,2
PSMD3,6,0.10376,0.21109,0.994079,97,3,0.027546,0.076415,0.841293,47,2
TAOK1,6,0.10468,0.21277,0.994079,98,1,0.75578,0.76913,0.999673,400,1
RTEL1,6,0.10597,0.21462,0.994079,99,2,0.49338,0.622,0.992316,330,2
INO80E,6,0.10766,0.21716,0.994079,100,3,0.15571,0.28753,0.982548,154,1
PSMA5,6,0.1081,0.21776,0.994079,101,3,0.93995,0.93973,0.999673,488,0
PMS1,6,0.1086,0.21867,0.994079,102,2,0.48231,0.61109,0.990447,327,1
CCNH,6,0.11026,0.22114,0.994079,103,2,0.0071459,0.025621,0.841293,12,2
UVRAG,6,0.11059,0.2216,0.994079,104,3,0.062796,0.14645,0.927067,82,2
NHEJ1,6,0.11125,0.22267,0.994079,105,2,0.02716,0.075556,0.841293,45,2
FAM175A,6,0.11212,0.22416,0.994079,106,1,0.22031,0.36775,0.982548,194,2
