id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
RAD54L,6,4.52E-06,2.80E-05,0.014851,1,5,0.96298,0.96364,0.99488,508,0
H2AFX,6,3.46E-05,0.00014011,0.037129,2,5,0.97753,0.97739,0.99488,516,0
RAD9A,6,6.84E-05,0.00038296,0.067657,3,6,0.99993,0.99995,0.999953,530,0
RAD51,6,0.00011652,0.00062582,0.068317,4,5,0.93317,0.93354,0.99488,492,0
MUS81,6,0.00012961,0.0006445,0.068317,5,4,0.96885,0.96947,0.99488,511,0
EP300,6,0.00077035,0.0036148,0.308787,6,5,0.42545,0.57333,0.960318,316,1
RAD51B,6,0.00090859,0.0042686,0.308787,7,3,0.85712,0.86192,0.99488,456,1
LIG4,6,0.0010235,0.0046609,0.308787,8,4,0.035305,0.099019,0.930437,48,2
PALB2,6,0.0020152,0.0083411,0.468529,9,3,0.51792,0.64957,0.975276,353,1
APITD1,6,0.0023744,0.009518,0.468529,10,3,0.82444,0.83864,0.99488,442,1
PSMB4,6,0.0026476,0.01062,0.468529,11,3,0.97977,0.97968,0.99488,518,0
BARD1,6,0.0026961,0.010919,0.468529,12,5,0.79793,0.82097,0.99488,435,1
RAD21,6,0.0029616,0.012059,0.468529,13,5,0.90258,0.90283,0.99488,477,0
POLQ,6,0.0030677,0.012376,0.468529,14,2,0.055009,0.141,0.930437,73,2
INO80E,6,0.0039272,0.015776,0.557426,15,5,0.41897,0.56795,0.958646,314,1
PNKP,6,0.0045904,0.018149,0.58445,16,3,0.78913,0.81548,0.99488,431,1
RAD52,6,0.0047905,0.018746,0.58445,17,5,0.84756,0.85443,0.99488,449,1
BRCA2,6,0.0053539,0.020914,0.602023,18,4,0.29144,0.47074,0.955738,260,1
SMC1A,6,0.0056683,0.02181,0.602023,19,2,0.81461,0.83188,0.99488,439,1
FANCL,6,0.0061114,0.02323,0.602023,20,5,0.80221,0.8236,0.99488,437,1
INO80,6,0.0062849,0.023902,0.602023,21,3,0.59916,0.71998,0.988947,380,2
HAUS5,6,0.0069302,0.025939,0.602023,22,5,0.98702,0.98742,0.99488,524,0
PCNA,6,0.0069839,0.026126,0.602023,23,4,0.98838,0.98884,0.99488,526,0
MMS22L,6,0.0086726,0.031636,0.662482,24,5,0.49866,0.63416,0.975276,341,1
UBE2C,6,0.0088322,0.032141,0.662482,25,3,0.01728,0.056258,0.851909,35,1
RNF168,6,0.0091797,0.033299,0.662482,26,2,0.51471,0.64703,0.975276,351,2
ATM,6,0.0093638,0.033897,0.662482,27,3,0.46444,0.60537,0.966405,332,2
